Name,Address,Rent,Beds,Bath,Parking,Utilities,Type of Laundry,Latitude,Longitude
707 S. Main,707 S. Main,559,3,2,Yes,Yes,In-unit,40.5037923,-88.9952606
725 Osage,725 Osage,549,4,2,No,No,In-unit,40.50408059999999,-88.99871639999999
727 W. Raab,727 W. Raab,415,4,2,Yes,No,W/D in Unit,40.5306844,-89.00088319999999
729 W. Raab,729 W. Raab,500,3,2.5,Yes,No,in unit washer / Dryer,40.5318396,-89.00073979999999
800 S. University,800 S. University,585,2,1,Yes,Yes,In-Unit,40.5035877,-88.9922902
800 Samantha,800 Samantha,625,4,4.5,No,Yes,In-unit,40.5031059,-88.998623
801 S. University,801 S. University,325,4,1,Yes,Yes,Coin,40.5024234,-88.99324299999999
801 S. University,801 S. University,425,3,1,Yes,Yes,Coin,40.5024234,-88.99324299999999
801 S. University St,801 S. University St,525,2,1,Yes,Yes,In-Unit,40.5024234,-88.99324299999999
803 Franklin,803 Franklin,589,2,1,Yes,Yes,Coin,40.5037599,-88.9915242
803 S. Franklin,803 S. Franklin,525,3,2,Yes,Yes,Coin,40.5142026,-88.9906312
803 S. Franklin,803 S. Franklin,945,1,1,Yes,No,Coin,40.5142026,-88.9906312
809 S. Franklin,809 S. Franklin,475,3,2,Yes,Yes,In-unit,40.5142026,-88.9906312
9 Delaine,9 Delaine,510,9,3,No,No,In-unit,40.5090795,-88.999968
903 Hovey,903 Hovey,599,2,2,No,Yes,In-unit,40.5022961,-88.9969045
905 S. University,905 S. University,370,4,2,Yes,Yes,Neighboring Property,40.5021855,-88.99331769999999
907-909 Market,907-909 Market,665,1,1,Yes,No,Coin,40.4986894,-88.9994777
908 S. University,908 S. University,365,4,1,Yes,Yes,Coin,40.5020996,-88.99257039999999
908 S. University,908 S. University,475,3,1,Yes,Yes,In-unit,40.5020996,-88.99257039999999
908 S. University St.,908 S. University St.,449,2,1,Yes,Yes,Coin,40.5020996,-88.99257039999999
910-912 W Hovey Ave,910-912 W Hovey Ave,625,4,4.5,No,Yes,In-unit,40.5028006,-88.9977825
910-912 W Hovey Ave,910-912 W Hovey Ave,785,2,2.5,Yes,Yes,In-unit,40.5028006,-88.9977825
911 Franklin,911 Franklin,625,2,2,Yes,Yes,In-unit,40.5020911,-88.9915989
911 S. Franklin,911 S. Franklin,475,3,2,Yes,Yes,In-Unit,40.5142026,-88.9906312
917 Market,917 Market,375,4,1,Yes,No,In-unit,40.4992072,-89.000547
917 Market,917 Market,629,1,1,Yes,No,Coin,40.4992072,-89.000547
920 W. Hovey,920 W. Hovey,625,4,4.5,No,Yes,In-unit,40.5027879,-88.998623
98 E. Irving,98 E. Irving,595,2,1,Yes,Yes,In-Unit,40.5069329,-88.9839196
98 E. Irving (updated),98 E. Irving (updated),599,2,1,Yes,Yes,In-unit,40.5069329,-88.9839196
98 E. Locust,98 E. Locust,459,4,2,Yes,Yes,In-unit,40.5135826,-88.9844614
98 E. Locust St.,98 E. Locust St.,489,2,1,Yes,Yes,Coin,40.5135826,-88.9844614
98 W. Cherry,98 W. Cherry,775,2,2,No,No,In-Unit,40.5125246,-88.9847978
98 W. Cherry ,98 W. Cherry,649,3,3,No,No,In-Unit,40.5125246,-88.9847978
98 W. Locust,98 W. Locust,475,2,1,Yes,Yes,Coin,40.5133995,-88.9848726
99 W. Cherry St.,99 W. Cherry St.,515,4,2,Yes,Yes,In-unit,40.5117291,-88.9847231
99 W. Cherry St.,99 W. Cherry St.,625,4,4,Yes,Yes,In-unit,40.5117291,-88.9847231
99 W. Cherry St. (Remodels),99 W. Cherry St. (Remodels),645,4,2,Yes,Yes,In-unit,40.5117291,-88.9847231
99 W. Phoenix Ave,99 W. Phoenix Ave,485,2,1,Yes,Yes,Coin,40.5072745,-88.9843494
